Scobey,Truck Containers Empty,4,7
Scobey,Trucks,4,9
Sherwood,Truck Containers Empty,158,150
Sherwood,Trucks,236,287
Skagway,Truck Containers Empty,143,117
Skagway,Trucks,163,131
St John,Truck Containers Empty,7,6
St John,Trucks,7,6
Sumas,Truck Containers Empty,"2,755","2,676"
Sumas,Trucks,"9,299","9,218"
Sweetgrass,Truck Containers Empty,"1,888","1,563"
Sweetgrass,Trucks,"11,994","11,190"
Tecate,Truck Containers Empty,"1,862","1,574"
Tecate,Trucks,"4,323","3,848"
Tornillo,Truck Containers Empty,897,796
Tornillo,Trucks,"2,668","2,530"
Trout River,Truck Containers Empty,274,335
Trout River,Trucks,828,827
Turner,Truck Containers Empty,26,5
Turner,Trucks,42,13
Van Buren,Truck Containers Empty,521,403
Van Buren,Trucks,"1,175","1,216"
Vanceboro,Truck Containers Empty,12,12
Vanceboro,Trucks,13,13
Walhalla,Truck Containers Empty,145,143
Walhalla,Trucks,268,226
Warroad,Truck Containers Empty,122,117
Warroad,Trucks,587,548
Westhope,Truck Containers Empty,19,24
Westhope,Trucks,146,101
Whitlash,Truck Containers Empty,,8
Whitlash,Trucks,,8
Wildhorse,Truck Containers Empty,13,17
Wildhorse,Trucks,79,42
Ysleta,Truck Containers Empty,"19,862","20,407"
Ysleta,Trucks,"53,942","54,043"
