date,port_name,port_code,state,measure,value,border
2024-12-01,Dalton Cache,3106,Alaska,Trucks,73,US-Canada Border
2024-12-01,Ferry,3013,Washington,Truck Containers Empty,4,US-Canada Border
2024-12-01,Ogdensburg,0701,New York,Trucks,2602,US-Canada Border
2024-12-01,Raymond,3301,Montana,Truck Containers Empty,272,US-Canada Border
2024-12-01,Pembina,3401,North Dakota,Truck Containers Loaded,29141,US-Canada Border
2024-12-01,Tornillo,2404,Texas,Trucks,1639,US-Mexico Border
2024-12-01,Porthill,3308,Idaho,Truck Containers Empty,96,US-Canada Border
2024-12-01,Roma,2310,Texas,Truck Containers Loaded,5448,US-Mexico Border
2024-12-01,Roosville,3318,Montana,Truck Containers Loaded,926,US-Canada Border
2024-12-01,Jackman,0104,Maine,Truck Containers Loaded,3189,US-Canada Border
2024-12-01,Del Rio,2302,Texas,Truck Containers Empty,1866,US-Mexico Border
2024-12-01,Laurier,3016,Washington,Truck Containers Empty,312,US-Canada Border
2024-12-01,Metaline Falls,3025,Washington,Truck Containers Loaded,100,US-Canada Border
2024-12-01,Douglas,2601,Arizona,Trucks,2386,US-Mexico Border
2024-12-01,Boundary,3015,Washington,Truck Containers Empty,1,US-Canada Border
2024-12-01,Sault Sainte Marie,3803,Michigan,Truck Containers Empty,449,US-Canada Border
2024-12-01,Naco,2603,Arizona,Truck Containers Loaded,97,US-Mexico Border
2024-12-01,Warroad,3423,Minnesota,Truck Containers Empty,298,US-Canada Border
2024-12-01,Richford,0203,Vermont,Trucks,140,US-Canada Border
2024-12-01,Northgate,3406,North Dakota,Truck Containers Empty,153,US-Canada Border
2024-12-01,Hansboro,3415,North Dakota,Truck Containers Empty,6,US-Canada Border
2024-12-01,Massena,0704,New York,Trucks,1513,US-Canada Border
2024-12-01,Progreso,2309,Texas,Truck Containers Loaded,4037,US-Mexico Border
2024-12-01,Port Huron,3802,Michigan,Truck Containers Loaded,119925,US-Canada Border
2024-12-01,Sarles,3409,North Dakota,Trucks,133,US-Canada Border
2024-12-01,Grand Portage,3613,Minnesota,Truck Containers Empty,312,US-Canada Border
2024-12-01,Danville,3012,Washington,Truck Containers Empty,3,US-Canada Border
2024-12-01,Baudette,3424,Minnesota,Trucks,259,US-Canada Border
2024-12-01,Neche,3404,North Dakota,Truck Containers Empty,364,US-Canada Border
2024-12-01,Dunseith,3422,North Dakota,Truck Containers Loaded,2418,US-Canada Border
2024-12-01,Hansboro,3415,North Dakota,Truck Containers Loaded,4,US-Canada Border
2024-12-01,Eastport,3302,Idaho,Truck Containers Loaded,5088,US-Canada Border
2024-12-01,Kenneth G Ward,3023,Washington,Trucks,2740,US-Canada Border
2024-12-01,Fort Kent,0110,Maine,Truck Containers Empty,146,US-Canada Border
2024-12-01,Alcan,3104,Alaska,Trucks,565,US-Canada Border
2024-12-01,Columbus,2406,New Mexico,Truck Containers Loaded,3035,US-Mexico Border
2024-12-01,Laredo,2304,Texas,Truck Containers Loaded,361746,US-Mexico Border
2024-12-01,Hannah,3408,North Dakota,Truck Containers Loaded,22,US-Canada Border
2024-12-01,Limestone,0118,Maine,Trucks,72,US-Canada Border
2024-12-01,Sumas,3009,Washington,Truck Containers Empty,2966,US-Canada Border
2024-12-01,Naco,2603,Arizona,Truck Containers Empty,182,US-Mexico Border
2024-12-01,Trout River,0715,New York,Truck Containers Loaded,921,US-Canada Border
2024-12-01,Vanceboro,0105,Maine,Truck Containers Loaded,10,US-Canada Border
2024-12-01,Morgan,3319,Montana,Truck Containers Loaded,6,US-Canada Border
2024-12-01,Oroville,3019,Washington,Trucks,1816,US-Canada Border
2024-12-01,Sherwood,3414,North Dakota,Truck Containers Loaded,91,US-Canada Border
2024-12-01,Blaine,3004,Washington,Trucks,27249,US-Canada Border
2024-12-01,Eagle Pass,2303,Texas,Truck Containers Empty,15855,US-Mexico Border
2024-12-01,Bridgewater,0127,Maine,Truck Containers Loaded,44,US-Canada Border
2024-12-01,Detroit,3801,Michigan,Trucks,93695,US-Canada Border
2024-12-01,Norton,0211,Vermont,Truck Containers Loaded,501,US-Canada Border
2024-12-01,Point Roberts,3017,Washington,Trucks,792,US-Canada Border
2024-12-01,Madawaska,0109,Maine,Truck Containers Empty,971,US-Canada Border
2024-12-01,Calexico East,2507,California,Truck Containers Loaded,39111,US-Mexico Border
2024-12-01,Frontier,3020,Washington,Truck Containers Empty,1280,US-Canada Border
2024-12-01,El Paso,2402,Texas,Truck Containers Loaded,6135,US-Mexico Border
2024-12-01,International Falls,3604,Minnesota,Truck Containers Loaded,1433,US-Canada Border
2024-12-01,Presidio,2403,Texas,Truck Containers Empty,290,US-Mexico Border
2024-12-01,Eastport,0103,Maine,Truck Containers Empty,87,US-Canada Border
2024-12-01,Ysleta,2401,Texas,Truck Containers Loaded,55616,US-Mexico Border
2024-12-01,Sweetgrass,3310,Montana,Trucks,12437,US-Canada Border
2024-12-01,Roseau,3426,Minnesota,Truck Containers Empty,90,US-Canada Border
2024-12-01,Lukeville,2602,Arizona,Truck Containers Loaded,69,US-Mexico Border
2024-12-01,Ferry,3013,Washington,Trucks,4,US-Canada Border
2024-12-01,Maida,3416,North Dakota,Truck Containers Loaded,19,US-Canada Border
2024-12-01,Warroad,3423,Minnesota,Trucks,443,US-Canada Border
2024-12-01,San Luis,2608,Arizona,Truck Containers Loaded,4946,US-Mexico Border
2024-12-01,Detroit,3801,Michigan,Truck Containers Empty,22260,US-Canada Border
2024-12-01,Dunseith,3422,North Dakota,Trucks,1608,US-Canada Border
2024-12-01,Naco,2603,Arizona,Trucks,255,US-Mexico Border
2024-12-01,Warroad,3423,Minnesota,Truck Containers Loaded,263,US-Canada Border
2024-12-01,Antler,3413,North Dakota,Trucks,45,US-Canada Border
2024-12-01,Wildhorse,3323,Montana,Truck Containers Empty,1,US-Canada Border
2024-12-01,Van Buren,0108,Maine,Truck Containers Loaded,1134,US-Canada Border
2024-12-01,Highgate Springs,0212,Vermont,Truck Containers Empty,1298,US-Canada Border
2024-12-01,Hidalgo,2305,Texas,Truck Containers Loaded,80947,US-Mexico Border
2024-12-01,Presidio,2403,Texas,Trucks,845,US-Mexico Border
2024-12-01,Metaline Falls,3025,Washington,Trucks,540,US-Canada Border
2024-12-01,Massena,0704,New York,Truck Containers Loaded,2048,US-Canada Border
2024-12-01,Rio Grande City,2307,Texas,Truck Containers Empty,371,US-Mexico Border
2024-12-01,Fort Fairfield,0107,Maine,Truck Containers Empty,266,US-Canada Border
2024-12-01,Buffalo Niagara Falls,0901,New York,Trucks,67879,US-Canada Border
2024-12-01,Del Rio,2302,Texas,Truck Containers Loaded,6898,US-Mexico Border
2024-12-01,Neche,3404,North Dakota,Truck Containers Loaded,419,US-Canada Border
2024-12-01,Tecate,2505,California,Truck Containers Loaded,5105,US-Mexico Border
2024-12-01,Hansboro,3415,North Dakota,Trucks,8,US-Canada Border
2024-12-01,Nogales,2604,Arizona,Truck Containers Empty,9875,US-Mexico Border
2024-12-01,Westhope,3419,North Dakota,Truck Containers Empty,22,US-Canada Border
2024-12-01,Richford,0203,Vermont,Truck Containers Loaded,67,US-Canada Border
2024-12-01,Westhope,3419,North Dakota,Truck Containers Loaded,184,US-Canada Border
2024-12-01,Jackman,0104,Maine,Truck Containers Empty,3443,US-Canada Border
