year_month,port_name,state,border,measure,value
2025-01,Alcan,Alaska,US-Canada Border,Truck Containers Empty,404
2025-01,Alcan,Alaska,US-Canada Border,Truck Containers Loaded,335
2025-01,Alcan,Alaska,US-Canada Border,Trucks,586
2025-01,Alexandria Bay,New York,US-Canada Border,Truck Containers Empty,1849
2025-01,Alexandria Bay,New York,US-Canada Border,Truck Containers Loaded,25542
2025-01,Alexandria Bay,New York,US-Canada Border,Trucks,15439
2025-01,Antler,North Dakota,US-Canada Border,Truck Containers Empty,77
2025-01,Antler,North Dakota,US-Canada Border,Trucks,77
2025-01,Baudette,Minnesota,US-Canada Border,Truck Containers Empty,398
2025-01,Baudette,Minnesota,US-Canada Border,Truck Containers Loaded,64
2025-01,Baudette,Minnesota,US-Canada Border,Trucks,425
2025-01,Beecher Falls,Vermont,US-Canada Border,Truck Containers Empty,664
2025-01,Beecher Falls,Vermont,US-Canada Border,Truck Containers Loaded,432
2025-01,Beecher Falls,Vermont,US-Canada Border,Trucks,885
2025-01,Blaine,Washington,US-Canada Border,Truck Containers Empty,9617
2025-01,Blaine,Washington,US-Canada Border,Truck Containers Loaded,35322
2025-01,Blaine,Washington,US-Canada Border,Trucks,29564
2025-01,Boundary,Washington,US-Canada Border,Truck Containers Loaded,27
2025-01,Boundary,Washington,US-Canada Border,Trucks,22
2025-01,Bridgewater,Maine,US-Canada Border,Truck Containers Empty,326
2025-01,Bridgewater,Maine,US-Canada Border,Truck Containers Loaded,232
2025-01,Bridgewater,Maine,US-Canada Border,Trucks,452
2025-01,Brownsville,Texas,US-Mexico Border,Truck Containers Empty,14344
2025-01,Brownsville,Texas,US-Mexico Border,Truck Containers Loaded,16933
2025-01,Brownsville,Texas,US-Mexico Border,Trucks,23432
2025-01,Buffalo Niagara Falls,New York,US-Canada Border,Truck Containers Empty,16288
2025-01,Buffalo Niagara Falls,New York,US-Canada Border,Truck Containers Loaded,111157
2025-01,Buffalo Niagara Falls,New York,US-Canada Border,Trucks,77391
2025-01,Calais,Maine,US-Canada Border,Truck Containers Empty,1422
2025-01,Calais,Maine,US-Canada Border,Truck Containers Loaded,6477
2025-01,Calais,Maine,US-Canada Border,Trucks,4798
2025-01,Calexico East,California,US-Mexico Border,Truck Containers Empty,19365
2025-01,Calexico East,California,US-Mexico Border,Truck Containers Loaded,45751
2025-01,Calexico East,California,US-Mexico Border,Trucks,40464
2025-01,Carbury,North Dakota,US-Canada Border,Truck Containers Empty,5
2025-01,Carbury,North Dakota,US-Canada Border,Truck Containers Loaded,272
2025-01,Carbury,North Dakota,US-Canada Border,Trucks,144
2025-01,Champlain Rouses Point,New York,US-Canada Border,Truck Containers Empty,2850
2025-01,Champlain Rouses Point,New York,US-Canada Border,Truck Containers Loaded,38502
2025-01,Champlain Rouses Point,New York,US-Canada Border,Trucks,23862
2025-01,Columbus,New Mexico,US-Mexico Border,Truck Containers Empty,343
2025-01,Columbus,New Mexico,US-Mexico Border,Truck Containers Loaded,2725
2025-01,Columbus,New Mexico,US-Mexico Border,Trucks,1709
2025-01,Dalton Cache,Alaska,US-Canada Border,Truck Containers Empty,56
2025-01,Dalton Cache,Alaska,US-Canada Border,Truck Containers Loaded,17
2025-01,Dalton Cache,Alaska,US-Canada Border,Trucks,64
2025-01,Danville,Washington,US-Canada Border,Truck Containers Empty,4
2025-01,Danville,Washington,US-Canada Border,Truck Containers Loaded,19
2025-01,Danville,Washington,US-Canada Border,Trucks,15
2025-01,Del Bonita,Montana,US-Canada Border,Truck Containers Empty,19
2025-01,Del Bonita,Montana,US-Canada Border,Truck Containers Loaded,27
2025-01,Del Bonita,Montana,US-Canada Border,Trucks,46
2025-01,Del Rio,Texas,US-Mexico Border,Truck Containers Empty,1973
2025-01,Del Rio,Texas,US-Mexico Border,Truck Containers Loaded,7778
2025-01,Del Rio,Texas,US-Mexico Border,Trucks,5853
2025-01,Derby Line,Vermont,US-Canada Border,Truck Containers Empty,1037
2025-01,Derby Line,Vermont,US-Canada Border,Truck Containers Loaded,11222
2025-01,Derby Line,Vermont,US-Canada Border,Trucks,6950
2025-01,Detroit,Michigan,US-Canada Border,Truck Containers Empty,27813
2025-01,Detroit,Michigan,US-Canada Border,Truck Containers Loaded,138566
2025-01,Detroit,Michigan,US-Canada Border,Trucks,103463
2025-01,Douglas,Arizona,US-Mexico Border,Truck Containers Empty,941
2025-01,Douglas,Arizona,US-Mexico Border,Truck Containers Loaded,2414
2025-01,Douglas,Arizona,US-Mexico Border,Trucks,2334
2025-01,Dunseith,North Dakota,US-Canada Border,Truck Containers Empty,332
2025-01,Dunseith,North Dakota,US-Canada Border,Truck Containers Loaded,3962
2025-01,Dunseith,North Dakota,US-Canada Border,Trucks,2407
2025-01,Eagle Pass,Texas,US-Mexico Border,Truck Containers Empty,17106
2025-01,Eagle Pass,Texas,US-Mexico Border,Truck Containers Loaded,23019
2025-01,Eagle Pass,Texas,US-Mexico Border,Trucks,27117
2025-01,Eastport,Idaho,US-Canada Border,Truck Containers Empty,973
2025-01,Eastport,Idaho,US-Canada Border,Truck Containers Loaded,6374
2025-01,Eastport,Idaho,US-Canada Border,Trucks,4546
2025-01,Eastport,Maine,US-Canada Border,Truck Containers Empty,94
2025-01,Eastport,Maine,US-Canada Border,Truck Containers Loaded,115
2025-01,Eastport,Maine,US-Canada Border,Trucks,199
2025-01,El Paso,Texas,US-Mexico Border,Truck Containers Empty,8868
2025-01,El Paso,Texas,US-Mexico Border,Truck Containers Loaded,6966
2025-01,El Paso,Texas,US-Mexico Border,Trucks,12746
2025-01,Ferry,Washington,US-Canada Border,Truck Containers Empty,1
2025-01,Ferry,Washington,US-Canada Border,Trucks,1
2025-01,Fort Fairfield,Maine,US-Canada Border,Truck Containers Empty,422
2025-01,Fort Fairfield,Maine,US-Canada Border,Truck Containers Loaded,114
2025-01,Fort Fairfield,Maine,US-Canada Border,Trucks,484
2025-01,Fort Kent,Maine,US-Canada Border,Truck Containers Empty,300
2025-01,Fort Kent,Maine,US-Canada Border,Truck Containers Loaded,20
2025-01,Fort Kent,Maine,US-Canada Border,Trucks,309
2025-01,Fortuna,North Dakota,US-Canada Border,Truck Containers Empty,63
2025-01,Fortuna,North Dakota,US-Canada Border,Truck Containers Loaded,65
2025-01,Fortuna,North Dakota,US-Canada Border,Trucks,99
2025-01,Frontier,Washington,US-Canada Border,Truck Containers Empty,1553
2025-01,Frontier,Washington,US-Canada Border,Truck Containers Loaded,1738
2025-01,Frontier,Washington,US-Canada Border,Trucks,2461
2025-01,Grand Portage,Minnesota,US-Canada Border,Truck Containers Empty,329
2025-01,Grand Portage,Minnesota,US-Canada Border,Truck Containers Loaded,1180
2025-01,Grand Portage,Minnesota,US-Canada Border,Trucks,953
2025-01,Hannah,North Dakota,US-Canada Border,Truck Containers Empty,3
2025-01,Hannah,North Dakota,US-Canada Border,Truck Containers Loaded,8
2025-01,Hannah,North Dakota,US-Canada Border,Trucks,7
2025-01,Hansboro,North Dakota,US-Canada Border,Truck Containers Empty,13
2025-01,Hansboro,North Dakota,US-Canada Border,Trucks,13
2025-01,Hidalgo,Texas,US-Mexico Border,Truck Containers Empty,18740
2025-01,Hidalgo,Texas,US-Mexico Border,Truck Containers Loaded,93872
2025-01,Hidalgo,Texas,US-Mexico Border,Trucks,63187
2025-01,Highgate Springs,Vermont,US-Canada Border,Truck Containers Empty,1741
2025-01,Highgate Springs,Vermont,US-Canada Border,Truck Containers Loaded,13910
2025-01,Highgate Springs,Vermont,US-Canada Border,Trucks,9199
2025-01,Houlton,Maine,US-Canada Border,Truck Containers Empty,1227
2025-01,Houlton,Maine,US-Canada Border,Truck Containers Loaded,12560
2025-01,Houlton,Maine,US-Canada Border,Trucks,7798
2025-01,International Falls,Minnesota,US-Canada Border,Truck Containers Empty,823
2025-01,International Falls,Minnesota,US-Canada Border,Truck Containers Loaded,1243
2025-01,International Falls,Minnesota,US-Canada Border,Trucks,1455
2025-01,Jackman,Maine,US-Canada Border,Truck Containers Empty,4705
2025-01,Jackman,Maine,US-Canada Border,Truck Containers Loaded,3906
2025-01,Jackman,Maine,US-Canada Border,Trucks,6744
2025-01,Kenneth G Ward,Washington,US-Canada Border,Truck Containers Empty,2671
2025-01,Kenneth G Ward,Washington,US-Canada Border,Truck Containers Loaded,626
2025-01,Kenneth G Ward,Washington,US-Canada Border,Trucks,3096
2025-01,Lancaster,Minnesota,US-Canada Border,Truck Containers Empty,322
2025-01,Lancaster,Minnesota,US-Canada Border,Truck Containers Loaded,4
2025-01,Lancaster,Minnesota,US-Canada Border,Trucks,324
2025-01,Laredo,Texas,US-Mexico Border,Truck Containers Empty,61199
2025-01,Laredo,Texas,US-Mexico Border,Truck Containers Loaded,400108
2025-01,Laredo,Texas,US-Mexico Border,Trucks,239825
2025-01,Laurier,Washington,US-Canada Border,Truck Containers Empty,376
2025-01,Laurier,Washington,US-Canada Border,Truck Containers Loaded,191
2025-01,Laurier,Washington,US-Canada Border,Trucks,476
2025-01,Limestone,Maine,US-Canada Border,Truck Containers Empty,127
2025-01,Limestone,Maine,US-Canada Border,Trucks,127
2025-01,Lukeville,Arizona,US-Mexico Border,Truck Containers Loaded,77
2025-01,Lukeville,Arizona,US-Mexico Border,Trucks,58
2025-01,Madawaska,Maine,US-Canada Border,Truck Containers Empty,1023
2025-01,Madawaska,Maine,US-Canada Border,Truck Containers Loaded,426
2025-01,Madawaska,Maine,US-Canada Border,Trucks,1237
2025-01,Maida,North Dakota,US-Canada Border,Truck Containers Empty,49
2025-01,Maida,North Dakota,US-Canada Border,Trucks,49
2025-01,Massena,New York,US-Canada Border,Truck Containers Empty,335
2025-01,Massena,New York,US-Canada Border,Truck Containers Loaded,2207
2025-01,Massena,New York,US-Canada Border,Trucks,1462
2025-01,Metaline Falls,Washington,US-Canada Border,Truck Containers Empty,543
2025-01,Metaline Falls,Washington,US-Canada Border,Truck Containers Loaded,76
2025-01,Metaline Falls,Washington,US-Canada Border,Trucks,584
2025-01,Morgan,Montana,US-Canada Border,Truck Containers Empty,21
2025-01,Morgan,Montana,US-Canada Border,Truck Containers Loaded,14
2025-01,Morgan,Montana,US-Canada Border,Trucks,30
2025-01,Naco,Arizona,US-Mexico Border,Truck Containers Empty,142
2025-01,Naco,Arizona,US-Mexico Border,Truck Containers Loaded,140
2025-01,Naco,Arizona,US-Mexico Border,Trucks,239
2025-01,Neche,North Dakota,US-Canada Border,Truck Containers Empty,376
2025-01,Neche,North Dakota,US-Canada Border,Truck Containers Loaded,578
2025-01,Neche,North Dakota,US-Canada Border,Trucks,699
2025-01,Nogales,Arizona,US-Mexico Border,Truck Containers Empty,10577
2025-01,Nogales,Arizona,US-Mexico Border,Truck Containers Loaded,61864
2025-01,Nogales,Arizona,US-Mexico Border,Trucks,42188
2025-01,Noonan,North Dakota,US-Canada Border,Truck Containers Empty,165
2025-01,Noonan,North Dakota,US-Canada Border,Trucks,165
2025-01,Northgate,North Dakota,US-Canada Border,Truck Containers Empty,139
2025-01,Northgate,North Dakota,US-Canada Border,Truck Containers Loaded,155
2025-01,Northgate,North Dakota,US-Canada Border,Trucks,218
2025-01,Norton,Vermont,US-Canada Border,Truck Containers Empty,154
2025-01,Norton,Vermont,US-Canada Border,Truck Containers Loaded,617
2025-01,Norton,Vermont,US-Canada Border,Trucks,473
2025-01,Ogdensburg,New York,US-Canada Border,Truck Containers Empty,412
2025-01,Ogdensburg,New York,US-Canada Border,Truck Containers Loaded,5162
2025-01,Ogdensburg,New York,US-Canada Border,Trucks,3111
2025-01,Opheim,Montana,US-Canada Border,Truck Containers Empty,4
2025-01,Opheim,Montana,US-Canada Border,Trucks,4
2025-01,Oroville,Washington,US-Canada Border,Truck Containers Empty,803
2025-01,Oroville,Washington,US-Canada Border,Truck Containers Loaded,2561
2025-01,Oroville,Washington,US-Canada Border,Trucks,2127
2025-01,Otay Mesa,California,US-Mexico Border,Truck Containers Empty,23191
2025-01,Otay Mesa,California,US-Mexico Border,Truck Containers Loaded,111496
2025-01,Otay Mesa,California,US-Mexico Border,Trucks,80766
2025-01,Pembina,North Dakota,US-Canada Border,Truck Containers Empty,3007
2025-01,Pembina,North Dakota,US-Canada Border,Truck Containers Loaded,33730
2025-01,Pembina,North Dakota,US-Canada Border,Trucks,21418
2025-01,Piegan,Montana,US-Canada Border,Truck Containers Empty,18
2025-01,Piegan,Montana,US-Canada Border,Truck Containers Loaded,314
2025-01,Piegan,Montana,US-Canada Border,Trucks,196
2025-01,Pinecreek,Minnesota,US-Canada Border,Truck Containers Empty,1
2025-01,Pinecreek,Minnesota,US-Canada Border,Truck Containers Loaded,4
2025-01,Pinecreek,Minnesota,US-Canada Border,Trucks,5
2025-01,Point Roberts,Washington,US-Canada Border,Truck Containers Empty,553
2025-01,Point Roberts,Washington,US-Canada Border,Truck Containers Loaded,128
2025-01,Point Roberts,Washington,US-Canada Border,Trucks,676
2025-01,Port Angeles,Washington,US-Canada Border,Truck Containers Empty,1
2025-01,Port Angeles,Washington,US-Canada Border,Trucks,1
2025-01,Port Huron,Michigan,US-Canada Border,Truck Containers Empty,8999
2025-01,Port Huron,Michigan,US-Canada Border,Truck Containers Loaded,137835
2025-01,Port Huron,Michigan,US-Canada Border,Trucks,85029
2025-01,Portal,North Dakota,US-Canada Border,Truck Containers Empty,1718
2025-01,Portal,North Dakota,US-Canada Border,Truck Containers Loaded,12147
2025-01,Portal,North Dakota,US-Canada Border,Trucks,8268
2025-01,Porthill,Idaho,US-Canada Border,Truck Containers Empty,156
2025-01,Porthill,Idaho,US-Canada Border,Truck Containers Loaded,22
2025-01,Porthill,Idaho,US-Canada Border,Trucks,168
2025-01,Presidio,Texas,US-Mexico Border,Truck Containers Empty,331
2025-01,Presidio,Texas,US-Mexico Border,Truck Containers Loaded,1447
2025-01,Presidio,Texas,US-Mexico Border,Trucks,1010
2025-01,Progreso,Texas,US-Mexico Border,Truck Containers Empty,1367
2025-01,Progreso,Texas,US-Mexico Border,Truck Containers Loaded,4841
2025-01,Progreso,Texas,US-Mexico Border,Trucks,3837
2025-01,Raymond,Montana,US-Canada Border,Truck Containers Empty,217
2025-01,Raymond,Montana,US-Canada Border,Truck Containers Loaded,1785
2025-01,Raymond,Montana,US-Canada Border,Trucks,1161
2025-01,Richford,Vermont,US-Canada Border,Truck Containers Empty,180
2025-01,Richford,Vermont,US-Canada Border,Truck Containers Loaded,140
2025-01,Richford,Vermont,US-Canada Border,Trucks,254
2025-01,Rio Grande City,Texas,US-Mexico Border,Truck Containers Empty,397
2025-01,Rio Grande City,Texas,US-Mexico Border,Truck Containers Loaded,5667
2025-01,Rio Grande City,Texas,US-Mexico Border,Trucks,3250
2025-01,Roma,Texas,US-Mexico Border,Truck Containers Empty,755
2025-01,Roma,Texas,US-Mexico Border,Truck Containers Loaded,6449
2025-01,Roma,Texas,US-Mexico Border,Trucks,3732
2025-01,Roosville,Montana,US-Canada Border,Truck Containers Empty,194
2025-01,Roosville,Montana,US-Canada Border,Truck Containers Loaded,1238
2025-01,Roosville,Montana,US-Canada Border,Trucks,834
2025-01,Roseau,Minnesota,US-Canada Border,Truck Containers Empty,72
2025-01,Roseau,Minnesota,US-Canada Border,Truck Containers Loaded,224
2025-01,Roseau,Minnesota,US-Canada Border,Trucks,190
2025-01,San Luis,Arizona,US-Mexico Border,Truck Containers Empty,1072
2025-01,San Luis,Arizona,US-Mexico Border,Truck Containers Loaded,5538
2025-01,San Luis,Arizona,US-Mexico Border,Trucks,3962
2025-01,Santa Teresa,New Mexico,US-Mexico Border,Truck Containers Empty,5181
2025-01,Santa Teresa,New Mexico,US-Mexico Border,Truck Containers Loaded,15801
2025-01,Santa Teresa,New Mexico,US-Mexico Border,Trucks,13193
2025-01,Sarles,North Dakota,US-Canada Border,Truck Containers Empty,22
2025-01,Sarles,North Dakota,US-Canada Border,Truck Containers Loaded,304
2025-01,Sarles,North Dakota,US-Canada Border,Trucks,181
2025-01,Sault Sainte Marie,Michigan,US-Canada Border,Truck Containers Empty,504
2025-01,Sault Sainte Marie,Michigan,US-Canada Border,Truck Containers Loaded,3943
2025-01,Sault Sainte Marie,Michigan,US-Canada Border,Trucks,2646
2025-01,Scobey,Montana,US-Canada Border,Truck Containers Empty,42
2025-01,Scobey,Montana,US-Canada Border,Truck Containers Loaded,2
2025-01,Scobey,Montana,US-Canada Border,Trucks,43
2025-01,Sherwood,North Dakota,US-Canada Border,Truck Containers Empty,179
2025-01,Sherwood,North Dakota,US-Canada Border,Truck Containers Loaded,108
2025-01,Sherwood,North Dakota,US-Canada Border,Trucks,234
2025-01,Skagway,Alaska,US-Canada Border,Truck Containers Empty,157
2025-01,Skagway,Alaska,US-Canada Border,Truck Containers Loaded,47
2025-01,Skagway,Alaska,US-Canada Border,Trucks,182
2025-01,St John,North Dakota,US-Canada Border,Truck Containers Empty,57
2025-01,St John,North Dakota,US-Canada Border,Trucks,57
2025-01,Sumas,Washington,US-Canada Border,Truck Containers Empty,3761
2025-01,Sumas,Washington,US-Canada Border,Truck Containers Loaded,15227
2025-01,Sumas,Washington,US-Canada Border,Trucks,12396
2025-01,Sweetgrass,Montana,US-Canada Border,Truck Containers Empty,2028
2025-01,Sweetgrass,Montana,US-Canada Border,Truck Containers Loaded,20405
2025-01,Sweetgrass,Montana,US-Canada Border,Trucks,13481
2025-01,Tecate,California,US-Mexico Border,Truck Containers Empty,1870
2025-01,Tecate,California,US-Mexico Border,Truck Containers Loaded,5411
2025-01,Tecate,California,US-Mexico Border,Trucks,4923
2025-01,Tornillo,Texas,US-Mexico Border,Truck Containers Empty,1102
2025-01,Tornillo,Texas,US-Mexico Border,Truck Containers Loaded,1768
2025-01,Tornillo,Texas,US-Mexico Border,Trucks,1966
2025-01,Trout River,New York,US-Canada Border,Truck Containers Empty,409
2025-01,Trout River,New York,US-Canada Border,Truck Containers Loaded,856
2025-01,Trout River,New York,US-Canada Border,Trucks,866
2025-01,Turner,Montana,US-Canada Border,Truck Containers Empty,24
2025-01,Turner,Montana,US-Canada Border,Truck Containers Loaded,15
2025-01,Turner,Montana,US-Canada Border,Trucks,33
2025-01,Van Buren,Maine,US-Canada Border,Truck Containers Empty,491
2025-01,Van Buren,Maine,US-Canada Border,Truck Containers Loaded,1338
2025-01,Van Buren,Maine,US-Canada Border,Trucks,1166
2025-01,Vanceboro,Maine,US-Canada Border,Truck Containers Empty,20
2025-01,Vanceboro,Maine,US-Canada Border,Truck Containers Loaded,10
2025-01,Vanceboro,Maine,US-Canada Border,Trucks,30
2025-01,Walhalla,North Dakota,US-Canada Border,Truck Containers Empty,240
2025-01,Walhalla,North Dakota,US-Canada Border,Truck Containers Loaded,297
2025-01,Walhalla,North Dakota,US-Canada Border,Trucks,403
2025-01,Warroad,Minnesota,US-Canada Border,Truck Containers Empty,417
2025-01,Warroad,Minnesota,US-Canada Border,Truck Containers Loaded,329
2025-01,Warroad,Minnesota,US-Canada Border,Trucks,597
2025-01,Westhope,North Dakota,US-Canada Border,Truck Containers Empty,20
2025-01,Westhope,North Dakota,US-Canada Border,Truck Containers Loaded,216
2025-01,Westhope,North Dakota,US-Canada Border,Trucks,131
2025-01,Wildhorse,Montana,US-Canada Border,Truck Containers Empty,3
2025-01,Wildhorse,Montana,US-Canada Border,Truck Containers Loaded,40
2025-01,Wildhorse,Montana,US-Canada Border,Trucks,23
2025-01,Ysleta,Texas,US-Mexico Border,Truck Containers Empty,21463
2025-01,Ysleta,Texas,US-Mexico Border,Truck Containers Loaded,65182
2025-01,Ysleta,Texas,US-Mexico Border,Trucks,55299
2025-02,Alcan,Alaska,US-Canada Border,Truck Containers Empty,428
2025-02,Alcan,Alaska,US-Canada Border,Truck Containers Loaded,432
2025-02,Alcan,Alaska,US-Canada Border,Trucks,661
2025-02,Alexandria Bay,New York,US-Canada Border,Truck Containers Empty,1758
2025-02,Alexandria Bay,New York,US-Canada Border,Truck Containers Loaded,23906
2025-02,Alexandria Bay,New York,US-Canada Border,Trucks,14548
2025-02,Antler,North Dakota,US-Canada Border,Truck Containers Empty,66
2025-02,Antler,North Dakota,US-Canada Border,Trucks,66
2025-02,Baudette,Minnesota,US-Canada Border,Truck Containers Empty,405
2025-02,Baudette,Minnesota,US-Canada Border,Truck Containers Loaded,80
2025-02,Baudette,Minnesota,US-Canada Border,Trucks,450
2025-02,Beecher Falls,Vermont,US-Canada Border,Truck Containers Empty,626
2025-02,Beecher Falls,Vermont,US-Canada Border,Truck Containers Loaded,365
2025-02,Beecher Falls,Vermont,US-Canada Border,Trucks,816
2025-02,Blaine,Washington,US-Canada Border,Truck Containers Empty,8858
2025-02,Blaine,Washington,US-Canada Border,Truck Containers Loaded,29977
2025-02,Blaine,Washington,US-Canada Border,Trucks,25906
2025-02,Boundary,Washington,US-Canada Border,Truck Containers Empty,2
2025-02,Boundary,Washington,US-Canada Border,Truck Containers Loaded,25
2025-02,Boundary,Washington,US-Canada Border,Trucks,24
2025-02,Bridgewater,Maine,US-Canada Border,Truck Containers Empty,292
2025-02,Bridgewater,Maine,US-Canada Border,Truck Containers Loaded,38
2025-02,Bridgewater,Maine,US-Canada Border,Trucks,318
2025-02,Brownsville,Texas,US-Mexico Border,Truck Containers Empty,15616
2025-02,Brownsville,Texas,US-Mexico Border,Truck Containers Loaded,19218
2025-02,Brownsville,Texas,US-Mexico Border,Trucks,25969
2025-02,Buffalo Niagara Falls,New York,US-Canada Border,Truck Containers Empty,14928
2025-02,Buffalo Niagara Falls,New York,US-Canada Border,Truck Containers Loaded,98213
2025-02,Buffalo Niagara Falls,New York,US-Canada Border,Trucks,69205
2025-02,Calais,Maine,US-Canada Border,Truck Containers Empty,1133
2025-02,Calais,Maine,US-Canada Border,Truck Containers Loaded,5188
2025-02,Calais,Maine,US-Canada Border,Trucks,3864
2025-02,Calexico East,California,US-Mexico Border,Truck Containers Empty,16947
2025-02,Calexico East,California,US-Mexico Border,Truck Containers Loaded,45660
2025-02,Calexico East,California,US-Mexico Border,Trucks,38126
2025-02,Carbury,North Dakota,US-Canada Border,Truck Containers Empty,6
2025-02,Carbury,North Dakota,US-Canada Border,Truck Containers Loaded,153
2025-02,Carbury,North Dakota,US-Canada Border,Trucks,87
2025-02,Champlain Rouses Point,New York,US-Canada Border,Truck Containers Empty,2841
2025-02,Champlain Rouses Point,New York,US-Canada Border,Truck Containers Loaded,35190
2025-02,Champlain Rouses Point,New York,US-Canada Border,Trucks,22181
2025-02,Columbus,New Mexico,US-Mexico Border,Truck Containers Empty,390
2025-02,Columbus,New Mexico,US-Mexico Border,Truck Containers Loaded,898
2025-02,Columbus,New Mexico,US-Mexico Border,Trucks,848
2025-02,Dalton Cache,Alaska,US-Canada Border,Truck Containers Empty,41
2025-02,Dalton Cache,Alaska,US-Canada Border,Truck Containers Loaded,12
2025-02,Dalton Cache,Alaska,US-Canada Border,Trucks,46
2025-02,Danville,Washington,US-Canada Border,Truck Containers Empty,4
2025-02,Danville,Washington,US-Canada Border,Truck Containers Loaded,23
2025-02,Danville,Washington,US-Canada Border,Trucks,17
2025-02,Del Bonita,Montana,US-Canada Border,Truck Containers Empty,35
2025-02,Del Bonita,Montana,US-Canada Border,Truck Containers Loaded,22
2025-02,Del Bonita,Montana,US-Canada Border,Trucks,57
2025-02,Del Rio,Texas,US-Mexico Border,Truck Containers Empty,3059
2025-02,Del Rio,Texas,US-Mexico Border,Truck Containers Loaded,8459
2025-02,Del Rio,Texas,US-Mexico Border,Trucks,7295
2025-02,Derby Line,Vermont,US-Canada Border,Truck Containers Empty,943
2025-02,Derby Line,Vermont,US-Canada Border,Truck Containers Loaded,10099
2025-02,Derby Line,Vermont,US-Canada Border,Trucks,6249
2025-02,Detroit,Michigan,US-Canada Border,Truck Containers Empty,23304
2025-02,Detroit,Michigan,US-Canada Border,Truck Containers Loaded,130407
2025-02,Detroit,Michigan,US-Canada Border,Trucks,94693
2025-02,Douglas,Arizona,US-Mexico Border,Truck Containers Empty,851
2025-02,Douglas,Arizona,US-Mexico Border,Truck Containers Loaded,2154
2025-02,Douglas,Arizona,US-Mexico Border,Trucks,2104
2025-02,Dunseith,North Dakota,US-Canada Border,Truck Containers Empty,291
2025-02,Dunseith,North Dakota,US-Canada Border,Truck Containers Loaded,3775
2025-02,Dunseith,North Dakota,US-Canada Border,Trucks,2283
2025-02,Eagle Pass,Texas,US-Mexico Border,Truck Containers Empty,13717
2025-02,Eagle Pass,Texas,US-Mexico Border,Truck Containers Loaded,22867
2025-02,Eagle Pass,Texas,US-Mexico Border,Trucks,23894
2025-02,Eastport,Idaho,US-Canada Border,Truck Containers Empty,732
2025-02,Eastport,Idaho,US-Canada Border,Truck Containers Loaded,5967
2025-02,Eastport,Idaho,US-Canada Border,Trucks,4105
2025-02,Eastport,Maine,US-Canada Border,Truck Containers Empty,112
2025-02,Eastport,Maine,US-Canada Border,Truck Containers Loaded,112
2025-02,Eastport,Maine,US-Canada Border,Trucks,210
2025-02,El Paso,Texas,US-Mexico Border,Truck Containers Empty,8137
2025-02,El Paso,Texas,US-Mexico Border,Truck Containers Loaded,7099
2025-02,El Paso,Texas,US-Mexico Border,Trucks,12123
2025-02,Ferry,Washington,US-Canada Border,Truck Containers Loaded,2
2025-02,Ferry,Washington,US-Canada Border,Trucks,1
2025-02,Fort Fairfield,Maine,US-Canada Border,Truck Containers Empty,318
2025-02,Fort Fairfield,Maine,US-Canada Border,Truck Containers Loaded,71
2025-02,Fort Fairfield,Maine,US-Canada Border,Trucks,359
2025-02,Fort Kent,Maine,US-Canada Border,Truck Containers Empty,279
2025-02,Fort Kent,Maine,US-Canada Border,Truck Containers Loaded,23
2025-02,Fort Kent,Maine,US-Canada Border,Trucks,291
2025-02,Fortuna,North Dakota,US-Canada Border,Truck Containers Empty,27
2025-02,Fortuna,North Dakota,US-Canada Border,Truck Containers Loaded,45
2025-02,Fortuna,North Dakota,US-Canada Border,Trucks,51
2025-02,Frontier,Washington,US-Canada Border,Truck Containers Empty,1407
2025-02,Frontier,Washington,US-Canada Border,Truck Containers Loaded,1463
2025-02,Frontier,Washington,US-Canada Border,Trucks,2173
2025-02,Grand Portage,Minnesota,US-Canada Border,Truck Containers Empty,351
2025-02,Grand Portage,Minnesota,US-Canada Border,Truck Containers Loaded,1153
2025-02,Grand Portage,Minnesota,US-Canada Border,Trucks,956
2025-02,Hannah,North Dakota,US-Canada Border,Truck Containers Empty,5
2025-02,Hannah,North Dakota,US-Canada Border,Truck Containers Loaded,13
2025-02,Hannah,North Dakota,US-Canada Border,Trucks,12
2025-02,Hansboro,North Dakota,US-Canada Border,Truck Containers Empty,13
2025-02,Hansboro,North Dakota,US-Canada Border,Truck Containers Loaded,1
2025-02,Hansboro,North Dakota,US-Canada Border,Trucks,14
2025-02,Hidalgo,Texas,US-Mexico Border,Truck Containers Empty,13165
2025-02,Hidalgo,Texas,US-Mexico Border,Truck Containers Loaded,78194
2025-02,Hidalgo,Texas,US-Mexico Border,Trucks,50292
2025-02,Highgate Springs,Vermont,US-Canada Border,Truck Containers Empty,1495
2025-02,Highgate Springs,Vermont,US-Canada Border,Truck Containers Loaded,12115
2025-02,Highgate Springs,Vermont,US-Canada Border,Trucks,8021
2025-02,Houlton,Maine,US-Canada Border,Truck Containers Empty,1052
2025-02,Houlton,Maine,US-Canada Border,Truck Containers Loaded,10726
2025-02,Houlton,Maine,US-Canada Border,Trucks,6692
2025-02,International Falls,Minnesota,US-Canada Border,Truck Containers Empty,745
2025-02,International Falls,Minnesota,US-Canada Border,Truck Containers Loaded,1285
2025-02,International Falls,Minnesota,US-Canada Border,Trucks,1410
2025-02,Jackman,Maine,US-Canada Border,Truck Containers Empty,4265
2025-02,Jackman,Maine,US-Canada Border,Truck Containers Loaded,3511
2025-02,Jackman,Maine,US-Canada Border,Trucks,6130
