date,port_name,port_code,state,measure,value,border
2025-12-01,Sherwood,3414,North Dakota,Truck Containers Loaded,200,US-Canada Border
2025-12-01,Presidio,2403,Texas,Truck Containers Loaded,1292,US-Mexico Border
2025-12-01,Sumas,3009,Washington,Truck Containers Empty,1993,US-Canada Border
2025-12-01,International Falls,3604,Minnesota,Truck Containers Empty,203,US-Canada Border
2025-12-01,Jackman,0104,Maine,Trucks,5409,US-Canada Border
2025-12-01,Calexico East,2507,California,Truck Containers Empty,15204,US-Mexico Border
2025-12-01,Point Roberts,3017,Washington,Truck Containers Loaded,223,US-Canada Border
2025-12-01,Derby Line,0209,Vermont,Truck Containers Empty,608,US-Canada Border
2025-12-01,Blaine,3004,Washington,Truck Containers Empty,7899,US-Canada Border
2025-12-01,Skagway,3103,Alaska,Truck Containers Loaded,15,US-Canada Border
2025-12-01,San Luis,2608,Arizona,Truck Containers Empty,1328,US-Mexico Border
2025-12-01,Noonan,3420,North Dakota,Trucks,50,US-Canada Border
2025-12-01,Lancaster,3430,Minnesota,Truck Containers Loaded,74,US-Canada Border
2025-12-01,Morgan,3319,Montana,Truck Containers Empty,7,US-Canada Border
2025-12-01,Hidalgo,2305,Texas,Truck Containers Loaded,80513,US-Mexico Border
2025-12-01,Turner,3306,Montana,Trucks,11,US-Canada Border
2025-12-01,Scobey,3309,Montana,Trucks,25,US-Canada Border
2025-12-01,Otay Mesa,2506,California,Trucks,76843,US-Mexico Border
2025-12-01,Northgate,3406,North Dakota,Trucks,165,US-Canada Border
2025-12-01,Limestone,0118,Maine,Truck Containers Loaded,41,US-Canada Border
2025-12-01,Hannah,3408,North Dakota,Truck Containers Loaded,7,US-Canada Border
2025-12-01,Columbus,2406,New Mexico,Trucks,1299,US-Mexico Border
2025-12-01,Champlain Rouses Point,0712,New York,Truck Containers Empty,2376,US-Canada Border
2025-12-01,Highgate Springs,0212,Vermont,Trucks,7287,US-Canada Border
2025-12-01,Alcan,3104,Alaska,Trucks,483,US-Canada Border
2025-12-01,Fort Kent,0110,Maine,Truck Containers Loaded,107,US-Canada Border
2025-12-01,Kenneth G Ward,3023,Washington,Truck Containers Empty,2185,US-Canada Border
2025-12-01,Richford,0203,Vermont,Truck Containers Empty,80,US-Canada Border
2025-12-01,Santa Teresa,2408,New Mexico,Truck Containers Loaded,16456,US-Mexico Border
2025-12-01,Nogales,2604,Arizona,Trucks,35598,US-Mexico Border
2025-12-01,Baudette,3424,Minnesota,Trucks,321,US-Canada Border
2025-12-01,Danville,3012,Washington,Truck Containers Loaded,11,US-Canada Border
2025-12-01,Beecher Falls,0206,Vermont,Truck Containers Loaded,415,US-Canada Border
2025-12-01,Houlton,0106,Maine,Truck Containers Loaded,10360,US-Canada Border
2025-12-01,Del Bonita,3322,Montana,Truck Containers Loaded,22,US-Canada Border
2025-12-01,Port Huron,3802,Michigan,Trucks,74788,US-Canada Border
2025-12-01,Progreso,2309,Texas,Truck Containers Loaded,3659,US-Mexico Border
2025-12-01,Massena,0704,New York,Truck Containers Loaded,2010,US-Canada Border
2025-12-01,Sweetgrass,3310,Montana,Truck Containers Empty,1939,US-Canada Border
2025-12-01,Eastport,3302,Idaho,Trucks,3115,US-Canada Border
2025-12-01,Fortuna,3417,North Dakota,Truck Containers Empty,92,US-Canada Border
2025-12-01,Fort Fairfield,0107,Maine,Trucks,460,US-Canada Border
2025-12-01,Boundary,3015,Washington,Truck Containers Loaded,19,US-Canada Border
2025-12-01,Brownsville,2301,Texas,Trucks,25805,US-Mexico Border
2025-12-01,Westhope,3419,North Dakota,Trucks,99,US-Canada Border
2025-12-01,Naco,2603,Arizona,Truck Containers Empty,121,US-Mexico Border
2025-12-01,Dunseith,3422,North Dakota,Truck Containers Loaded,2810,US-Canada Border
2025-12-01,Metaline Falls,3025,Washington,Truck Containers Empty,416,US-Canada Border
2025-12-01,Laurier,3016,Washington,Truck Containers Empty,50,US-Canada Border
2025-12-01,Del Rio,2302,Texas,Trucks,6377,US-Mexico Border
2025-12-01,Port Angeles,3007,Washington,Truck Containers Empty,11,US-Canada Border
2025-12-01,Roseau,3426,Minnesota,Truck Containers Empty,133,US-Canada Border
2025-12-01,Porthill,3308,Idaho,Truck Containers Loaded,269,US-Canada Border
2025-12-01,Trout River,0715,New York,Truck Containers Empty,254,US-Canada Border
2025-12-01,Buffalo Niagara Falls,0901,New York,Trucks,64186,US-Canada Border
2025-12-01,Raymond,3301,Montana,Truck Containers Empty,137,US-Canada Border
2025-12-01,Roma,2310,Texas,Truck Containers Loaded,6982,US-Mexico Border
2025-12-01,Boundary,3015,Washington,Trucks,22,US-Canada Border
2025-12-01,Carbury,3421,North Dakota,Trucks,110,US-Canada Border
2025-12-01,Metaline Falls,3025,Washington,Truck Containers Loaded,75,US-Canada Border
2025-12-01,Norton,0211,Vermont,Truck Containers Loaded,539,US-Canada Border
2025-12-01,Massena,0704,New York,Truck Containers Empty,283,US-Canada Border
2025-12-01,Rio Grande City,2307,Texas,Trucks,1750,US-Mexico Border
2025-12-01,Vanceboro,0105,Maine,Truck Containers Loaded,2,US-Canada Border
2025-12-01,Blaine,3004,Washington,Trucks,27061,US-Canada Border
2025-12-01,Douglas,2601,Arizona,Truck Containers Loaded,2100,US-Mexico Border
2025-12-01,Van Buren,0108,Maine,Truck Containers Loaded,1490,US-Canada Border
2025-12-01,Buffalo Niagara Falls,0901,New York,Truck Containers Loaded,92280,US-Canada Border
2025-12-01,Santa Teresa,2408,New Mexico,Trucks,14821,US-Mexico Border
2025-12-01,Dunseith,3422,North Dakota,Trucks,1681,US-Canada Border
2025-12-01,Neche,3404,North Dakota,Truck Containers Empty,163,US-Canada Border
2025-12-01,Calexico East,2507,California,Trucks,32530,US-Mexico Border
