port_name,Truck Containers Empty,Truck Containers Loaded,Trucks,total_crossings
Laredo,662610,4614780,2945388,8222778
Detroit,239429,1489943,1132114,2861486
Port Huron,99104,1584197,1060776,2744077
Otay Mesa,229143,1315098,990111,2534352
Buffalo Niagara Falls,172705,1126378,865370,2164453
Hidalgo,208705,941612,719184,1869501
Ysleta,215147,708929,641729,1565805
Calexico East,198490,456822,446835,1102147
Nogales,97981,514363,408584,1020928
Eagle Pass,218376,263739,368985,851100
