port_name,measure,mes_label,tot_value,mes,value,delta
Progreso,Truck Containers Empty,Jan 2026,4944,2026-01,4924,20
Del Rio,Trucks,Jan 2026,7304,2026-01,7284,20
Jackman,Truck Containers Empty,Feb 2026,2946,2026-02,2926,20
Sumas,Truck Containers Empty,Feb 2026,2676,2026-02,2656,20
Walhalla,Trucks,Jan 2026,268,2026-01,248,20
Hansboro,Trucks,Jan 2026,20,2026-01,0,20
Alcan,Truck Containers Empty,Feb 2026,272,2026-02,252,20
Metaline Falls,Trucks,Jan 2026,517,2026-01,497,20
Antler,Trucks,Feb 2026,84,2026-02,65,19
Skagway,Truck Containers Empty,Jan 2026,143,2026-01,124,19
Alexandria Bay,Truck Containers Empty,Feb 2026,1514,2026-02,1495,19
Skagway,Trucks,Feb 2026,131,2026-02,112,19
Westhope,Truck Containers Empty,Jan 2026,19,2026-01,0,19
Sherwood,Trucks,Jan 2026,236,2026-01,217,19
Trout River,Trucks,Jan 2026,828,2026-01,809,19
Beecher Falls,Trucks,Feb 2026,677,2026-02,658,19
Dalton Cache,Trucks,Feb 2026,47,2026-02,28,19
Lancaster,Trucks,Feb 2026,194,2026-02,175,19
Pinecreek,Trucks,Feb 2026,19,2026-02,0,19
Porthill,Trucks,Feb 2026,247,2026-02,228,19
Baudette,Trucks,Jan 2026,298,2026-01,279,19
Presidio,Trucks,Jan 2026,748,2026-01,729,19
Noonan,Trucks,Jan 2026,80,2026-01,62,18
Lancaster,Trucks,Jan 2026,173,2026-01,155,18
Sumas,Truck Containers Empty,Jan 2026,2755,2026-01,2737,18
Roosville,Truck Containers Empty,Jan 2026,18,2026-01,0,18
Baudette,Truck Containers Empty,Feb 2026,214,2026-02,196,18
International Falls,Trucks,Feb 2026,1165,2026-02,1147,18
Metaline Falls,Truck Containers Empty,Feb 2026,478,2026-02,460,18
Derby Line,Truck Containers Empty,Jan 2026,694,2026-01,676,18
Eastport,Truck Containers Empty,Jan 2026,909,2026-01,891,18
Noonan,Truck Containers Empty,Jan 2026,80,2026-01,62,18
Raymond,Truck Containers Empty,Feb 2026,164,2026-02,146,18
Douglas,Truck Containers Empty,Feb 2026,859,2026-02,841,18
Dunseith,Trucks,Feb 2026,1935,2026-02,1917,18
Frontier,Trucks,Feb 2026,2236,2026-02,2218,18
Neche,Trucks,Feb 2026,356,2026-02,338,18
Ogdensburg,Truck Containers Empty,Feb 2026,273,2026-02,255,18
Columbus,Trucks,Jan 2026,730,2026-01,713,17
Del Bonita,Truck Containers Empty,Feb 2026,45,2026-02,28,17
Oroville,Truck Containers Empty,Feb 2026,680,2026-02,663,17
Westhope,Trucks,Feb 2026,101,2026-02,84,17
Point Roberts,Trucks,Feb 2026,511,2026-02,494,17
Norton,Trucks,Jan 2026,389,2026-01,372,17
Raymond,Trucks,Jan 2026,1085,2026-01,1068,17
Van Buren,Trucks,Feb 2026,1216,2026-02,1199,17
Wildhorse,Truck Containers Empty,Feb 2026,17,2026-02,0,17
Warroad,Trucks,Jan 2026,587,2026-01,570,17
Fort Kent,Truck Containers Empty,Feb 2026,269,2026-02,252,17
Massena,Truck Containers Empty,Feb 2026,219,2026-02,202,17
Limestone,Trucks,Feb 2026,84,2026-02,67,17
Wildhorse,Trucks,Jan 2026,79,2026-01,62,17
Highgate Springs,Trucks,Jan 2026,7738,2026-01,7721,17
Presidio,Truck Containers Empty,Feb 2026,268,2026-02,252,16
Madawaska,Trucks,Jan 2026,1084,2026-01,1068,16
Baudette,Trucks,Feb 2026,250,2026-02,234,16
Beecher Falls,Truck Containers Empty,Feb 2026,359,2026-02,343,16
Bridgewater,Trucks,Feb 2026,330,2026-02,314,16
Calais,Truck Containers Empty,Feb 2026,609,2026-02,593,16
Point Roberts,Trucks,Jan 2026,539,2026-01,523,16
Dalton Cache,Truck Containers Empty,Feb 2026,44,2026-02,28,16
Ogdensburg,Trucks,Jan 2026,2110,2026-01,2094,16
Lancaster,Truck Containers Empty,Feb 2026,156,2026-02,140,16
Houlton,Truck Containers Empty,Jan 2026,538,2026-01,522,16
San Luis,Truck Containers Empty,Jan 2026,1036,2026-01,1020,16
Tornillo,Truck Containers Empty,Jan 2026,897,2026-01,881,16
Tecate,Trucks,Jan 2026,4323,2026-01,4307,16
Sweetgrass,Truck Containers Empty,Jan 2026,1888,2026-01,1872,16
Alcan,Trucks,Jan 2026,650,2026-01,634,16
Beecher Falls,Trucks,Jan 2026,608,2026-01,592,16
Beecher Falls,Truck Containers Empty,Jan 2026,357,2026-01,341,16
Alexandria Bay,Truck Containers Empty,Jan 2026,1508,2026-01,1493,15
Bridgewater,Trucks,Jan 2026,263,2026-01,248,15
Alcan,Truck Containers Empty,Jan 2026,246,2026-01,231,15
Pinecreek,Trucks,Jan 2026,15,2026-01,0,15
Kenneth G Ward,Truck Containers Empty,Jan 2026,1886,2026-01,1871,15
Roosville,Trucks,Jan 2026,765,2026-01,750,15
San Luis,Trucks,Jan 2026,4542,2026-01,4557,-15
Highgate Springs,Truck Containers Empty,Jan 2026,1012,2026-01,997,15
Roma,Truck Containers Empty,Jan 2026,939,2026-01,924,15
El Paso,Truck Containers Empty,Jan 2026,7946,2026-01,7931,15
Douglas,Truck Containers Empty,Jan 2026,944,2026-01,929,15
Oroville,Trucks,Jan 2026,1668,2026-01,1653,15
Metaline Falls,Truck Containers Empty,Jan 2026,475,2026-01,460,15
International Falls,Truck Containers Empty,Feb 2026,225,2026-02,210,15
Fort Kent,Trucks,Feb 2026,309,2026-02,294,15
Fortuna,Truck Containers Empty,Jan 2026,139,2026-01,124,15
Fort Fairfield,Trucks,Jan 2026,356,2026-01,341,15
Piegan,Truck Containers Empty,Feb 2026,15,2026-02,0,15
Columbus,Truck Containers Empty,Jan 2026,139,2026-01,124,15
Neche,Trucks,Jan 2026,406,2026-01,391,15
Richford,Truck Containers Empty,Feb 2026,193,2026-02,178,15
Sault Sainte Marie,Truck Containers Empty,Feb 2026,512,2026-02,497,15
Roosville,Truck Containers Empty,Feb 2026,15,2026-02,0,15
Point Roberts,Truck Containers Empty,Jan 2026,281,2026-01,267,14
Richford,Truck Containers Empty,Jan 2026,169,2026-01,155,14
Alcan,Trucks,Feb 2026,554,2026-02,540,14
Van Buren,Truck Containers Empty,Jan 2026,521,2026-01,507,14
Tecate,Trucks,Feb 2026,3848,2026-02,3862,-14
Trout River,Truck Containers Empty,Feb 2026,335,2026-02,321,14
Sault Sainte Marie,Truck Containers Empty,Jan 2026,474,2026-01,460,14
Wildhorse,Trucks,Feb 2026,42,2026-02,28,14
Houlton,Trucks,Jan 2026,6301,2026-01,6287,14
Antler,Truck Containers Empty,Feb 2026,84,2026-02,70,14
Fort Fairfield,Trucks,Feb 2026,462,2026-02,448,14
Houlton,Trucks,Feb 2026,6233,2026-02,6247,-14
Nogales,Trucks,Feb 2026,36960,2026-02,36946,14
Boundary,Trucks,Feb 2026,28,2026-02,14,14
Portal,Trucks,Jan 2026,7167,2026-01,7153,14
Dunseith,Truck Containers Empty,Feb 2026,126,2026-02,112,14
Hidalgo,Truck Containers Empty,Feb 2026,18482,2026-02,18496,-14
Norton,Trucks,Feb 2026,392,2026-02,378,14
Richford,Trucks,Feb 2026,308,2026-02,294,14
Oroville,Truck Containers Empty,Jan 2026,645,2026-01,632,13
Vanceboro,Trucks,Feb 2026,13,2026-02,0,13
Fort Fairfield,Truck Containers Empty,Jan 2026,44,2026-01,31,13
Metaline Falls,Trucks,Feb 2026,519,2026-02,506,13
Eastport,Trucks,Jan 2026,3613,2026-01,3600,13
Trout River,Trucks,Feb 2026,827,2026-02,814,13
Highgate Springs,Truck Containers Empty,Feb 2026,1035,2026-02,1022,13
Tornillo,Truck Containers Empty,Feb 2026,796,2026-02,783,13
Tecate,Truck Containers Empty,Jan 2026,1862,2026-01,1849,13
Sweetgrass,Truck Containers Empty,Feb 2026,1563,2026-02,1550,13
Rio Grande City,Trucks,Jan 2026,1712,2026-01,1699,13
Vanceboro,Trucks,Jan 2026,13,2026-01,0,13
Wildhorse,Truck Containers Empty,Jan 2026,13,2026-01,0,13
Del Rio,Trucks,Feb 2026,7566,2026-02,7553,13
Turner,Trucks,Feb 2026,13,2026-02,0,13
Van Buren,Trucks,Jan 2026,1175,2026-01,1163,12
Vanceboro,Truck Containers Empty,Jan 2026,12,2026-01,0,12
Columbus,Trucks,Feb 2026,473,2026-02,461,12
Piegan,Truck Containers Empty,Jan 2026,12,2026-01,0,12
Carbury,Trucks,Feb 2026,68,2026-02,56,12
Madawaska,Trucks,Feb 2026,1184,2026-02,1172,12
Laurier,Trucks,Feb 2026,320,2026-02,308,12
Pembina,Truck Containers Empty,Feb 2026,2502,2026-02,2514,-12
Eastport,Truck Containers Empty,Feb 2026,739,2026-02,727,12
Houlton,Truck Containers Empty,Feb 2026,584,2026-02,572,12
Laurier,Trucks,Jan 2026,311,2026-01,299,12
Roma,Truck Containers Empty,Feb 2026,1013,2026-02,1001,12
Naco,Trucks,Feb 2026,180,2026-02,168,12
Presidio,Trucks,Feb 2026,758,2026-02,746,12
Otay Mesa,Trucks,Feb 2026,74440,2026-02,74452,-12
Vanceboro,Truck Containers Empty,Feb 2026,12,2026-02,0,12
Derby Line,Trucks,Jan 2026,5639,2026-01,5651,-12
Warroad,Trucks,Feb 2026,548,2026-02,536,12
Roseau,Trucks,Jan 2026,166,2026-01,155,11
International Falls,Trucks,Jan 2026,1192,2026-01,1181,11
Port Huron,Truck Containers Empty,Jan 2026,6121,2026-01,6110,11
Bridgewater,Truck Containers Empty,Jan 2026,135,2026-01,124,11
Van Buren,Truck Containers Empty,Feb 2026,403,2026-02,392,11
Sweetgrass,Trucks,Jan 2026,11994,2026-01,12005,-11
Grand Portage,Truck Containers Empty,Feb 2026,263,2026-02,252,11
Norton,Truck Containers Empty,Jan 2026,73,2026-01,62,11
Progreso,Truck Containers Empty,Feb 2026,4899,2026-02,4910,-11
Dunseith,Trucks,Jan 2026,2394,2026-01,2383,11
Dunseith,Truck Containers Empty,Jan 2026,166,2026-01,155,11
Rio Grande City,Trucks,Feb 2026,1884,2026-02,1873,11
